policy_name,policy_selected_action,count
emergency_router_only,continue_therapy,58
emergency_router_only,emergency_toxicity_management,60
emergency_router_only,escalate_evaluation,125
emergency_router_only,hold_therapy,31
emergency_router_only,switch_therapy,26
full_controller,continue_therapy,60
full_controller,emergency_toxicity_management,60
full_controller,escalate_evaluation,60
full_controller,hold_therapy,60
full_controller,switch_therapy,60
hold_router_only,continue_therapy,58
hold_router_only,emergency_toxicity_management,19
hold_router_only,escalate_evaluation,120
hold_router_only,hold_therapy,77
hold_router_only,switch_therapy,26
no_definitive_router,continue_therapy,60
no_definitive_router,emergency_toxicity_management,19
no_definitive_router,escalate_evaluation,155
no_definitive_router,hold_therapy,40
no_definitive_router,switch_therapy,26
safety_block_only,continue_therapy,58
safety_block_only,emergency_toxicity_management,19
safety_block_only,escalate_evaluation,153
safety_block_only,hold_therapy,44
safety_block_only,switch_therapy,26
switch_router_only,continue_therapy,58
switch_router_only,emergency_toxicity_management,19
switch_router_only,escalate_evaluation,119
switch_router_only,hold_therapy,44
switch_router_only,switch_therapy,60
unguided_model,continue_therapy,59
unguided_model,emergency_toxicity_management,19
unguided_model,escalate_evaluation,152
unguided_model,hold_therapy,44
unguided_model,switch_therapy,26
