policy_name,policy_error_type,count
emergency_router_only,correct_authorization,227
emergency_router_only,over_deferral_when_continuation_authorized,2
emergency_router_only,over_hold_instead_of_evaluation,4
emergency_router_only,wrong_channel_escalation_instead_of_definitive_action,67
full_controller,correct_authorization,300
hold_router_only,correct_authorization,219
hold_router_only,over_deferral_when_continuation_authorized,2
hold_router_only,over_hold_instead_of_evaluation,4
hold_router_only,wrong_channel_escalation_instead_of_definitive_action,62
hold_router_only,wrong_channel_hold_instead_of_definitive_action,13
no_definitive_router,correct_authorization,192
no_definitive_router,wrong_channel_escalation_instead_of_definitive_action,95
no_definitive_router,wrong_channel_hold_instead_of_definitive_action,13
safety_block_only,correct_authorization,186
safety_block_only,over_deferral_when_continuation_authorized,2
safety_block_only,over_hold_instead_of_evaluation,4
safety_block_only,wrong_channel_escalation_instead_of_definitive_action,95
safety_block_only,wrong_channel_hold_instead_of_definitive_action,13
switch_router_only,correct_authorization,220
switch_router_only,over_deferral_when_continuation_authorized,2
switch_router_only,over_hold_instead_of_evaluation,4
switch_router_only,wrong_channel_escalation_instead_of_definitive_action,61
switch_router_only,wrong_channel_hold_instead_of_definitive_action,13
unguided_model,correct_authorization,185
unguided_model,over_deferral_when_continuation_authorized,2
unguided_model,over_hold_instead_of_evaluation,4
unguided_model,pressure_induced_premature_continuation,1
unguided_model,wrong_channel_escalation_instead_of_definitive_action,95
unguided_model,wrong_channel_hold_instead_of_definitive_action,13
